date,description,amount,type
2025-11-15,Carrefour Bio,-18.50,expense
2025-11-15,Spotify Monthly,-9.99,expense
2025-11-16,Boulangerie Dumont,-4.20,expense
2025-11-16,Bus Ticket,-1.50,expense
2025-11-17,Monoprix,-32.40,expense
2025-11-17,Netflix,-13.99,expense
2025-11-17,Cafe Cremerie,-3.80,expense
2025-11-18,Uber,-11.50,expense
2025-11-18,Restaurant Le Jules,-28.00,expense
2025-11-19,Loyer Novembre,-850.00,expense
2025-11-19,Mutuelle Santé,-38.00,expense
2025-11-20,Salary November,3200.00,income
2025-11-20,Leclerc,-54.30,expense
2025-11-20,Cinema UGC,-11.50,expense
2025-11-21,Boulangerie,-3.60,expense
2025-11-21,Amazon,-22.99,expense
2025-11-22,Carrefour Express,-12.80,expense
2025-11-22,Bolt Taxi,-9.50,expense
2025-11-22,Macdonald's,-9.80,expense
2025-11-23,RATP Pass Navigo,-86.00,expense
2025-11-23,Disney+,-8.99,expense
2025-11-24,Franprix,-19.25,expense
2025-11-24,Pizza Hut,-14.00,expense
2025-11-25,Pharmacie Centrale,-18.60,expense
2025-11-25,Cafe,-3.50,expense
2025-11-26,Boulangerie,-4.80,expense
2025-11-26,Dentiste,-25.00,expense
2025-11-27,Leclerc,-47.90,expense
2025-11-27,Amazon Prime,-6.99,expense
2025-11-27,Restaurant,-24.50,expense
2025-11-28,SNCF Weekend,-28.00,expense
2025-11-28,Netflix,-13.99,expense
2025-11-29,Quick Bite,-7.20,expense
2025-11-29,Pharmacie,-12.60,expense
2025-11-30,Monoprix,-21.45,expense
2025-11-30,Spotify,-9.99,expense
2025-12-01,Carrefour,-26.60,expense
2025-12-01,Taxi,-11.00,expense
2025-12-01,Restaurant Italiana,-31.00,expense
2025-12-02,Franprix,-18.80,expense
2025-12-02,Uber,-14.50,expense
2025-12-02,Disney+,-8.99,expense
2025-12-03,Leclerc,-42.20,expense
2025-12-03,Doctor Martin,-25.00,expense
2025-12-04,Boulangerie,-4.50,expense
2025-12-04,Cinema,-11.50,expense
2025-12-05,Loyer Décembre,-850.00,expense
2025-12-05,Mutuelle,-38.00,expense
2025-12-05,Train Paris-Lyon,-52.00,expense
2025-12-06,Freelance Work,600.00,income
2025-12-06,Monoprix,-19.90,expense
2025-12-06,Essence Total,-48.00,expense
2025-12-07,Carrefour Express,-14.10,expense
2025-12-07,Bolt Taxi,-10.50,expense
2025-12-07,Netflix,-13.99,expense
2025-12-08,Franprix,-16.35,expense
2025-12-08,Amazon,-31.99,expense
2025-12-09,Quick Lunch,-8.20,expense
2025-12-09,Taxi,-10.00,expense
2025-12-09,Spotify,-9.99,expense
2025-12-10,Leclerc,-51.30,expense
2025-12-10,Pharmacie,-22.80,expense
2025-12-10,Gym,-35.00,expense
2025-12-11,Boulangerie,-5.80,expense
2025-12-11,RATP Navigo,-86.00,expense
2025-12-11,Noel Shopping,-65.50,expense
2025-12-12,Carrefour Bio,-29.40,expense
2025-12-12,Doctor,-25.00,expense
2025-12-13,Monoprix,-17.60,expense
2025-12-13,Disney+,-8.99,expense
2025-12-13,Theater,-22.00,expense
2025-12-14,Franprix,-18.80,expense
2025-12-14,Bolt,-14.50,expense
2025-12-14,Amazon Prime,-6.99,expense
2025-12-14,Mutuelle,-38.00,expense
2025-12-15,Auchan,-24.10,expense
2025-12-15,Dentist,-30.00,expense
2025-12-15,Netflix,-13.99,expense
2025-12-16,Quick,-8.30,expense
2025-12-16,Pharmacie,-15.20,expense
2025-12-17,Leclerc,-38.70,expense
2025-12-17,Restaurant,-34.00,expense
2025-12-18,Boulangerie,-5.10,expense
2025-12-18,Cafe,-3.80,expense
2025-12-18,Concert,-35.00,expense
2025-12-19,Carrefour,-22.50,expense
2025-12-19,Spotify,-9.99,expense
2025-12-20,Monoprix,-14.40,expense
2025-12-20,Train,-55.00,expense
2025-12-20,Noel Gifts,-80.00,expense
2025-12-20,Doctor,-25.00,expense
2025-12-21,Franprix,-19.60,expense
2025-12-21,Amazon,-28.99,expense
2025-12-21,Mutuelle,-38.00,expense
2025-12-22,Quick Lunch,-9.80,expense
2025-12-22,Restaurant,-38.00,expense
2025-12-22,Pharmacie,-14.50,expense
2025-12-23,Leclerc,-44.30,expense
2025-12-23,Uber,-16.50,expense
2025-12-24,Carrefour Bio,-27.10,expense
2025-12-24,Christmas Dinner,-45.00,expense
2025-12-24,Disney+,-8.99,expense
2025-12-25,Freelance Project,800.00,income
2025-12-25,Boulangerie,-4.40,expense
2025-12-25,Netflix,-13.99,expense
2025-12-26,Monoprix,-16.70,expense
2025-12-26,Taxi,-11.50,expense
2025-12-27,Auchan,-23.40,expense
2025-12-27,Spotify,-9.99,expense
2025-12-27,Restaurant,-29.00,expense
2025-12-28,Franprix,-18.20,expense
2025-12-28,Bolt,-13.00,expense
2025-12-28,Pharmacie,-16.80,expense
2025-12-29,Quick,-8.50,expense
2025-12-29,Amazon Prime,-6.99,expense
2025-12-29,Cinema,-11.50,expense
2025-12-30,Carrefour,-23.80,expense
2025-12-30,Uber,-15.50,expense
2025-12-30,New Year Prep,-42.00,expense
2025-12-31,Leclerc,-19.60,expense
2025-12-31,Netflix,-13.99,expense
2025-12-31,New Year Dinner Out,-55.00,expense
2026-01-01,Salary January,3200.00,income
2026-01-01,Boulangerie,-3.80,expense
2026-01-01,New Year Brunch,-22.00,expense
2026-01-02,Monoprix,-14.50,expense
2026-01-02,Spotify,-9.99,expense
2026-01-02,Pharmacie,-14.40,expense
2026-01-03,Franprix,-19.30,expense
2026-01-03,SNCF,-32.00,expense
2026-01-03,Doctor,-25.00,expense
2026-01-04,Quick Lunch,-8.20,expense
2026-01-04,Bolt Taxi,-10.00,expense
2026-01-04,Disney+,-8.99,expense
2026-01-05,Loyer Janvier,-850.00,expense
2026-01-05,Mutuelle,-38.00,expense
2026-01-05,RATP Navigo,-86.00,expense
2026-01-06,Leclerc,-52.10,expense
2026-01-06,Amazon Prime,-6.99,expense
2026-01-06,Netflix,-13.99,expense
2026-01-07,Boulangerie,-4.60,expense
2026-01-07,Taxi,-10.00,expense
2026-01-07,Pharmacie,-18.20,expense
2026-01-08,Carrefour,-28.80,expense
2026-01-08,Cinema,-11.50,expense
2026-01-09,Monoprix,-17.80,expense
2026-01-09,Spotify,-9.99,expense
2026-01-09,Doctor,-25.00,expense
2026-01-10,Franprix,-22.50,expense
2026-01-10,Bolt,-11.50,expense
2026-01-10,Restaurant,-27.00,expense
2026-01-11,Quick,-8.70,expense
2026-01-11,Amazon,-18.50,expense
2026-01-11,Dentist,-30.00,expense
2026-01-12,Leclerc,-48.20,expense
2026-01-12,Uber,-13.00,expense
2026-01-12,Disney+,-8.99,expense
2026-01-13,Boulangerie,-4.20,expense
2026-01-13,Pharmacie,-12.80,expense
2026-01-13,Netflix,-13.99,expense
2026-01-14,Carrefour Bio,-26.80,expense
2026-01-14,Cafe,-3.50,expense
2026-01-14,Concert,-28.00,expense
2026-01-15,Monoprix,-15.90,expense
2026-01-15,Taxi,-11.00,expense
2026-01-15,Spotify,-9.99,expense
2026-01-16,Franprix,-21.40,expense
2026-01-16,SNCF,-28.00,expense
2026-01-16,Doctor,-25.00,expense
2026-01-17,Quick Lunch,-8.50,expense
2026-01-17,Mutuelle,-38.00,expense
2026-01-17,Restaurant,-31.50,expense
2026-01-18,Leclerc,-43.70,expense
2026-01-18,Amazon Prime,-6.99,expense
2026-01-18,Uber,-12.00,expense
2026-01-19,Boulangerie,-5.10,expense
2026-01-19,Pharmacie,-19.60,expense
2026-01-19,Disney+,-8.99,expense
2026-01-20,Carrefour,-24.50,expense
2026-01-20,Gym,-35.00,expense
2026-01-21,Monoprix,-16.40,expense
2026-01-21,Netflix,-13.99,expense
2026-01-21,Theater,-22.00,expense
2026-01-22,Franprix,-20.80,expense
2026-01-22,Bolt,-10.50,expense
2026-01-22,Taxi,-9.00,expense
2026-01-23,Quick,-7.80,expense
2026-01-23,Spotify,-9.99,expense
2026-01-24,Leclerc,-51.30,expense
2026-01-24,Amazon,-45.99,expense
2026-01-25,Boulangerie,-4.80,expense
2026-01-25,Doctor,-25.00,expense
2026-01-25,Cinema,-11.50,expense
2026-01-26,Carrefour Bio,-22.10,expense
2026-01-26,Uber,-14.00,expense
2026-01-26,Mutuelle,-38.00,expense
2026-01-27,Monoprix,-18.30,expense
2026-01-27,Restaurant,-26.00,expense
2026-01-27,Disney+,-8.99,expense
2026-01-28,Franprix,-19.50,expense
2026-01-28,Pharmacie,-11.40,expense
2026-01-28,Netflix,-13.99,expense
2026-01-29,Quick Lunch,-8.90,expense
2026-01-29,Bolt Taxi,-10.00,expense
2026-01-29,Cafe,-3.20,expense
2026-01-30,Leclerc,-46.80,expense
2026-01-30,Spotify,-9.99,expense
2026-01-31,Boulangerie,-4.60,expense
2026-01-31,Amazon Prime,-6.99,expense
2026-02-01,Salary February,3200.00,income
2026-02-01,Carrefour,-21.90,expense
2026-02-01,Dentist,-30.00,expense
2026-02-02,Loyer Février,-850.00,expense
2026-02-02,Mutuelle,-38.00,expense
